City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Ushuaia,75,AR,1561938401,64,-54.81,-68.31,37.4,16.11
Rikitea,9,PF,1561938494,58,-23.12,-134.97,69.71,10.98
Bluff,0,AU,1561938494,49,-23.58,149.07,68.81,9.6
Hermanus,99,ZA,1561938494,71,-34.42,19.24,57.99,1.99
Busselton,76,AU,1561938494,74,-33.64,115.35,55.0,13.38
New Norfolk,20,AU,1561938494,47,-42.78,147.06,60.01,12.75
Hobart,20,AU,1561938495,47,-42.88,147.33,60.01,12.75
Port Alfred,0,ZA,1561938495,76,-33.59,26.89,62.01,5.99
Bredasdorp,71,ZA,1561938495,87,-34.53,20.04,57.99,6.93
Mataura,82,NZ,1561938495,79,-46.19,168.86,54.0,7.16
Chuy,28,UY,1561938495,83,-33.69,-53.46,50.63,12.1
East London,36,ZA,1561938495,17,-33.02,27.91,71.87,15.12
Albany,40,US,1561938308,64,42.65,-73.75,73.4,9.17
Port Elizabeth,75,US,1561938496,45,39.31,-74.98,86.0,8.05
Punta Arenas,90,CL,1561938496,69,-53.16,-70.91,35.6,20.8
Vaini,100,IN,1561938496,89,15.34,74.49,76.37,2.13
Kaitangata,100,NZ,1561938496,71,-46.28,169.85,46.99,4.0
Kruisfontein,56,ZA,1561938496,71,-34.0,24.73,56.57,10.87
Cape Town,75,ZA,1561938497,93,-33.93,18.42,55.99,12.75
Te Anau,95,NZ,1561938497,87,-45.41,167.72,47.57,4.29
Mahebourg,40,MU,1561938497,77,-20.41,57.7,69.8,10.29
Saint-Philippe,1,CA,1561938497,64,45.36,-73.48,75.2,11.41
Portland,90,US,1561937996,82,43.66,-70.25,66.99,8.05
Avarua,94,CK,1561938443,64,-21.21,-159.78,73.4,18.34
Arraial do Cabo,0,BR,1561938497,73,-22.97,-42.02,73.85,8.84
Coihaique,75,CL,1561938498,69,-45.58,-72.07,37.4,4.7
Dunedin,100,NZ,1561938498,57,-45.87,170.5,50.0,1.99
Mar del Plata,49,AR,1561938498,69,-46.43,-67.52,32.81,16.84
Saldanha,25,PT,1561938498,81,41.42,-6.55,67.19,5.12
Tuatapere,67,NZ,1561938498,79,-46.13,167.69,54.0,9.62
